,APINO,COMPANY,YR,JAN_OIL,JAN_GAS,JAN_WATER,JAN_DAYS,FEB_OIL,FEB_GAS,FEB_WATER,FEB_DAYS,MAR_OIL,MAR_GAS,MAR_WATER,MAR_DAYS,APR_OIL,APR_GAS,APR_WATER,APR_DAYS,MAY_OIL,MAY_GAS,MAY_WATER,MAY_DAYS,JUN_OIL,JUN_GAS,JUN_WATER,JUN_DAYS,JUL_OIL,JUL_GAS,JUL_WATER,JUL_DAYS,AUG_OIL,AUG_GAS,AUG_WATER,AUG_DAYS,SEP_OIL,SEP_GAS,SEP_WATER,SEP_DAYS,OCT_OIL,OCT_GAS,OCT_WATER,OCT_DAYS,NOV_OIL,NOV_GAS,NOV_WATER,NOV_DAYS,DEC_OIL,DEC_GAS,DEC_WATER,DEC_DAYS,API_RES,ResCode,Reservoir
25091,530959,DENBURY ONSHORE LLC,1984,240,24,1922,31,170,17,1798,29,252,25,1922,31,253,25,1860,30,273,27,1922,31,197,20,1860,30,237,24,1922,31,209,21,1922,31,192,19,1860,30,236,24,1922,31,227,23,1860,30,197,20,1860,30,530959676,676,MUDDY
44279,523836,DENBURY ONSHORE LLC,1978,1127,545,0,31,1072,711,0,28,971,996,0,31,879,867,0,30,812,733,0,29,797,751,0,30,780,540,0,31,697,678,0,30,754,846,0,30,642,634,0,30,495,498,0,25,730,592,0,30,523836811,811,SHANNON
44280,523836,DENBURY ONSHORE LLC,1979,609,854,0,31,514,491,0,28,578,445,0,31,507,459,0,30,454,497,0,30,450,552,0,30,402,520,0,31,407,539,0,31,375,356,0,30,260,281,0,19,328,310,0,30,300,287,0,31,523836811,811,SHANNON
44281,523836,DENBURY ONSHORE LLC,1980,205,230,0,26,304,263,0,13,317,323,0,20,302,305,0,23,313,255,0,23,302,354,0,24,2493,308,0,25,0,0,0,0,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523836811,811,SHANNON
44282,523836,DENBURY ONSHORE LLC,1981,318,209,0,31,237,370,0,23,250,430,0,22,273,419,0,28,265,250,0,31,257,262,0,30,274,455,0,31,163,277,0,31,266,270,0,30,261,246,0,29,257,256,0,28,213,204,0,21,523836811,811,SHANNON
44283,523836,DENBURY ONSHORE LLC,1982,216,276,0,23,24,192,0,23,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523836811,811,SHANNON
44284,523836,DENBURY ONSHORE LLC,1983,0,0,0,99,0,0,0,99,0,0,0,99,302,227,0,30,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523836811,811,SHANNON
44797,523936,DENBURY ONSHORE LLC,1978,1110,47,0,31,1072,589,0,28,1085,380,31,31,1233,431,25,25,1190,417,29,29,1006,238,28,30,728,549,29,15,1092,350,59,31,1078,713,58,30,1067,741,5,31,885,332,4,30,787,513,4,29,523936811,811,SHANNON
44798,523936,DENBURY ONSHORE LLC,1979,960,244,3,31,815,207,3,28,939,357,3,31,811,722,3,30,848,1036,1,31,770,683,1,30,800,600,1,31,747,617,1,31,700,567,1,30,580,441,0,28,553,147,1,29,532,425,1,31,523936811,811,SHANNON
44799,523936,DENBURY ONSHORE LLC,1980,314,251,1,19,385,63,0,13,426,116,1,12,408,261,0,11,366,143,0,11,360,208,0,11,363,160,0,11,342,153,1,11,915,280,0,30,813,362,0,29,757,344,0,30,366,353,0,31,523936811,811,SHANNON
44800,523936,DENBURY ONSHORE LLC,1981,696,22,0,31,520,19,0,28,490,23,0,31,422,22,0,30,351,183,0,31,385,33,0,30,353,24,0,31,598,34,0,31,565,32,0,30,547,30,0,30,492,34,0,30,482,329,0,31,523936811,811,SHANNON
44801,523936,DENBURY ONSHORE LLC,1982,530,459,0,31,473,264,0,21,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523936811,811,SHANNON
44802,523936,DENBURY ONSHORE LLC,1983,0,0,0,99,0,0,0,99,0,0,0,99,3518,2545,0,30,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523936811,811,SHANNON
45115,523992,DENBURY ONSHORE LLC,1978,1798,75,0,31,1736,955,0,28,628,220,31,31,1634,572,30,30,1605,562,28,29,1452,344,27,30,876,660,28,31,1404,447,28,31,1508,998,29,30,1423,988,2,31,1273,477,1,30,1187,760,1,29,523992811,811,SHANNON
45116,523992,DENBURY ONSHORE LLC,1979,1093,278,1,31,1042,265,1,28,972,370,2,31,907,807,2,30,745,910,1,31,770,683,1,30,779,584,1,31,672,555,1,31,722,585,1,30,582,442,0,28,706,187,0,29,745,595,0,31,523992811,811,SHANNON
45117,523992,DENBURY ONSHORE LLC,1980,413,330,0,19,385,63,0,13,425,116,0,12,407,260,0,11,391,152,0,11,384,222,0,11,363,160,0,11,365,163,0,11,915,329,0,30,813,374,0,30,757,356,0,30,366,364,0,31,523992811,811,SHANNON
45118,523992,DENBURY ONSHORE LLC,1981,822,22,0,31,682,20,0,28,643,22,0,31,556,22,0,30,461,239,0,31,506,33,0,30,463,24,0,31,785,69,0,29,741,67,0,30,718,64,0,30,644,69,0,30,632,302,0,31,523992811,811,SHANNON
45119,523992,DENBURY ONSHORE LLC,1982,912,419,0,31,709,311,0,27,798,342,0,28,909,365,0,29,670,399,0,31,894,363,0,30,830,389,0,31,367,365,0,31,409,328,0,30,845,330,0,31,776,292,0,30,306,173,0,31,523992811,811,SHANNON
45120,523992,DENBURY ONSHORE LLC,1983,418,186,0,31,344,173,0,28,321,117,0,31,355,102,0,30,312,117,0,31,279,91,0,29,292,102,0,30,288,0,0,31,250,0,0,30,344,0,0,31,177,0,0,29,110,0,0,19,523992811,811,SHANNON
45121,523992,DENBURY ONSHORE LLC,1984,167,0,24,22,1398,210,0,28,2377,374,0,30,1942,310,0,30,1931,341,0,31,1693,256,0,27,2068,282,0,31,1940,268,0,31,1759,254,0,30,1631,253,0,31,1963,288,0,30,2050,272,0,31,523992811,811,SHANNON
45122,523992,DENBURY ONSHORE LLC,1985,2024,269,0,31,1832,241,0,28,2024,275,31,31,2068,282,0,30,2393,332,0,31,1409,181,0,22,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523992811,811,SHANNON
45123,523993,DENBURY ONSHORE LLC,1978,740,31,0,31,714,393,0,28,1060,371,16,31,917,321,15,30,865,303,14,29,1458,346,13,30,922,694,14,31,428,137,15,31,426,282,14,30,406,282,1,31,528,198,1,30,407,278,1,29,523993811,811,SHANNON
45124,523993,DENBURY ONSHORE LLC,1979,430,109,1,31,404,103,1,28,875,333,2,31,515,458,1,30,509,622,1,31,618,549,1,30,702,527,1,31,608,502,1,31,600,486,1,30,622,472,0,24,557,148,0,29,585,468,0,31,523993811,811,SHANNON
45125,523993,DENBURY ONSHORE LLC,1980,417,333,0,19,308,51,0,13,355,97,0,12,340,217,0,11,366,143,0,11,360,208,0,11,364,160,1,11,342,153,0,11,915,249,0,30,813,362,0,31,757,345,0,30,366,353,0,30,523993811,811,SHANNON
45126,523993,DENBURY ONSHORE LLC,1981,633,23,0,31,520,19,0,28,490,23,0,31,422,22,0,30,351,182,0,31,385,33,0,30,353,24,0,31,598,34,0,29,565,33,0,30,547,30,0,30,492,33,0,30,482,23,0,31,523993811,811,SHANNON
45127,523993,DENBURY ONSHORE LLC,1982,530,30,0,31,402,24,0,28,378,25,0,29,588,27,0,30,972,65,0,31,403,561,0,30,641,567,0,31,281,529,0,31,318,477,0,30,193,305,0,31,177,270,0,30,29,80,0,31,523993811,811,SHANNON
45128,523993,DENBURY ONSHORE LLC,1983,40,84,0,31,33,79,0,28,117,185,0,31,749,31,0,29,114,188,0,31,101,144,0,29,110,167,0,31,105,0,0,31,187,0,281,30,0,0,0,99,16,0,160,16,0,0,0,0,523993811,811,SHANNON
45129,523993,DENBURY ONSHORE LLC,1984,0,0,0,0,27,4,81,29,32,104,224,31,31,31,155,30,59,65,89,30,60,57,90,30,60,52,60,31,56,49,56,31,108,98,54,30,402,392,213,31,85,79,113,30,94,78,313,31,523993811,811,SHANNON
45130,523993,DENBURY ONSHORE LLC,1985,92,77,307,31,84,69,280,28,93,79,310,31,255,219,0,30,500,436,750,31,301,243,177,18,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523993811,811,SHANNON
45131,523994,DENBURY ONSHORE LLC,1978,582,24,0,31,562,309,0,28,1757,615,32,31,473,166,31,30,499,175,29,29,775,184,28,30,798,601,29,31,1031,330,35,19,1021,675,34,30,1003,697,3,31,831,311,2,30,827,538,2,29,523994811,811,SHANNON
45132,523994,DENBURY ONSHORE LLC,1979,1227,312,1,31,792,201,1,28,446,170,1,31,811,722,1,30,848,1036,1,31,619,548,1,30,624,468,1,31,564,466,1,31,600,486,1,30,601,457,0,28,490,130,0,29,426,340,1,31,523994811,811,SHANNON
45133,523994,DENBURY ONSHORE LLC,1980,314,251,1,19,308,51,0,13,284,78,0,12,272,174,0,11,367,143,0,11,359,207,0,11,300,132,0,11,319,143,0,11,749,200,0,30,666,302,0,31,619,289,0,30,300,294,0,31,523994811,811,SHANNON
45134,523994,DENBURY ONSHORE LLC,1981,506,3,0,31,390,2,0,28,367,2,0,31,318,2,0,30,263,140,0,31,289,3,0,29,264,2,0,31,449,33,0,31,424,33,0,30,410,31,0,30,369,33,0,30,361,25,0,29,523994811,811,SHANNON
45135,523994,DENBURY ONSHORE LLC,1982,294,37,0,31,213,17,0,28,294,26,0,29,347,22,0,29,201,17,0,31,115,10,0,30,214,16,0,31,281,21,0,31,250,13,0,30,121,8,0,31,111,8,0,30,524,53,0,31,523994811,811,SHANNON
45136,523994,DENBURY ONSHORE LLC,1983,717,56,0,31,590,52,0,28,350,22,0,31,211,70,0,14,340,23,0,31,315,17,0,30,330,20,0,31,315,0,0,31,250,0,0,30,344,0,0,31,336,0,0,30,202,0,0,19,523994811,811,SHANNON
45137,523994,DENBURY ONSHORE LLC,1984,541,0,0,25,300,44,0,29,130,35,0,31,259,29,0,28,43,5,0,4,328,35,0,30,330,31,0,31,759,73,0,31,379,38,27,30,189,20,0,31,285,29,228,30,192,18,72,24,523994811,811,SHANNON
45138,523994,DENBURY ONSHORE LLC,1985,429,40,0,31,305,28,0,28,343,32,0,31,350,33,0,30,357,34,0,31,20,2,0,2,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523994811,811,SHANNON
45139,523995,DENBURY ONSHORE LLC,1978,1057,45,0,31,1021,562,0,28,1355,474,14,31,1035,362,14,30,990,347,15,29,494,117,14,30,1182,890,15,31,582,185,14,31,511,338,14,30,460,320,1,31,583,218,1,30,567,377,1,29,523995811,811,SHANNON
45140,523995,DENBURY ONSHORE LLC,1979,582,149,1,31,549,140,1,28,604,230,1,31,568,506,1,30,690,842,1,31,579,513,0,30,592,444,1,31,578,477,1,31,571,462,1,30,571,434,0,28,409,109,1,29,570,456,0,31,523995811,811,SHANNON
45141,523995,DENBURY ONSHORE LLC,1980,314,251,0,19,292,48,0,13,270,74,0,12,259,166,0,11,244,95,0,11,348,201,0,11,272,120,0,11,331,148,0,11,665,200,0,30,592,266,0,30,550,254,0,30,267,259,0,30,523995811,811,SHANNON
45142,523995,DENBURY ONSHORE LLC,1981,506,3,0,31,390,2,0,28,367,3,0,31,318,3,0,30,263,140,0,31,289,4,0,30,264,3,0,31,449,34,0,31,424,33,0,30,410,32,0,30,369,34,0,30,361,302,0,31,523995811,811,SHANNON
45143,523995,DENBURY ONSHORE LLC,1982,500,421,0,31,352,325,0,28,294,354,0,29,588,378,0,30,402,400,0,31,346,364,0,30,294,390,0,31,281,366,0,31,568,329,0,30,459,331,0,31,421,292,0,30,277,301,0,31,523995811,811,SHANNON
45144,523995,DENBURY ONSHORE LLC,1983,0,0,0,99,312,299,0,28,322,229,0,31,0,0,0,99,302,223,0,30,289,185,0,30,283,192,0,29,288,0,0,31,437,0,0,30,48,0,0,6,0,0,0,99,0,0,0,99,523995811,811,SHANNON
45145,523996,DENBURY ONSHORE LLC,1978,780,1764,0,31,897,939,0,28,757,1088,0,29,705,544,0,31,709,1272,0,31,654,1210,0,30,662,510,0,30,566,1754,0,31,729,1280,0,26,769,1638,0,31,703,966,0,29,452,1231,0,18,523996811,811,SHANNON
45146,523996,DENBURY ONSHORE LLC,1979,795,1611,0,28,564,1504,0,23,714,858,0,31,632,1010,0,30,628,1062,0,31,574,631,0,30,557,1132,0,31,550,1152,0,31,502,927,0,30,524,889,0,27,552,625,0,30,536,868,0,31,523996811,811,SHANNON
45147,523996,DENBURY ONSHORE LLC,1980,286,289,0,17,269,320,0,16,300,471,0,11,281,271,0,8,288,603,0,13,276,448,0,14,503,644,0,27,332,323,0,19,385,313,0,30,561,432,0,31,548,411,0,30,446,421,0,18,523996811,811,SHANNON
45148,523996,DENBURY ONSHORE LLC,1981,647,159,0,31,552,135,0,28,548,157,0,30,493,154,0,30,496,410,0,31,408,230,0,30,350,167,0,31,460,1070,0,28,488,1042,0,30,382,416,0,30,355,446,0,30,204,195,0,17,523996811,811,SHANNON
45149,523997,DENBURY ONSHORE LLC,1978,3326,1843,31,31,2815,1357,28,28,3059,1855,32,31,2873,2495,29,30,2695,2401,31,31,2530,1905,24,24,2424,2006,27,27,2167,1965,27,31,2226,1737,26,29,1850,1578,8,31,1813,1500,5,30,921,591,3,18,523997811,811,SHANNON
45150,523997,DENBURY ONSHORE LLC,1979,2015,191,2,25,1572,506,2,21,2193,419,3,29,1918,1201,4,30,1811,1287,3,29,1895,1100,2,29,1653,1274,2,31,1566,1380,3,29,1415,1196,2,24,1482,1007,2,20,1853,1342,2,30,1578,1517,2,30,523997811,811,SHANNON
45151,523997,DENBURY ONSHORE LLC,1980,839,805,2,16,736,562,1,12,838,186,1,12,843,538,1,11,809,570,2,10,782,486,1,10,891,607,2,11,840,533,2,10,2242,536,0,30,1989,1191,0,31,1770,1135,0,30,1587,1159,0,31,523997811,811,SHANNON
45152,523997,DENBURY ONSHORE LLC,1981,1497,253,0,31,1076,216,0,24,0,251,0,31,1295,244,0,22,1742,959,0,30,1620,328,0,30,1374,266,0,31,1359,795,0,31,1141,775,0,30,1175,429,0,31,1034,447,0,30,1119,357,0,31,523997811,811,SHANNON
45153,523997,DENBURY ONSHORE LLC,1982,947,459,0,31,974,382,0,28,1016,418,0,29,1066,401,0,27,1614,472,0,31,1396,429,0,30,1404,446,0,30,1356,432,0,31,975,284,0,22,1453,400,0,28,1492,392,0,30,1426,403,0,31,523997811,811,SHANNON
45154,523997,DENBURY ONSHORE LLC,1983,1287,433,0,31,1053,401,0,28,1460,473,0,31,1325,453,0,29,1234,415,0,27,1050,305,0,24,1108,343,0,25,1311,0,0,31,531,0,0,30,121,0,0,20,992,0,51,25,1934,0,336,29,523997811,811,SHANNON
45155,523997,DENBURY ONSHORE LLC,1984,784,0,252,29,1257,190,173,23,442,12,72,25,0,0,0,0,741,49,193,15,1493,84,388,30,1307,66,302,26,1367,70,237,29,1407,75,54,30,1293,74,0,29,1260,69,0,29,1225,274,0,31,523997811,811,SHANNON
45156,523997,DENBURY ONSHORE LLC,1985,1235,277,0,31,850,188,0,21,1407,322,0,31,734,169,0,30,647,151,0,22,837,338,0,28,14,5,0,1,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,0,0,0,99,523997811,811,SHANNON
45157,523998,DENBURY ONSHORE LLC,1978,387,305,15,31,310,111,9,28,550,193,0,31,501,267,0,29,430,151,0,30,474,168,0,25,465,163,0,31,458,102,0,31,449,151,0,30,439,135,7,30,358,101,4,30,368,69,3,28,523998811,811,SHANNON
45158,523998,DENBURY ONSHORE LLC,1979,320,82,2,21,453,58,2,28,470,33,2,31,338,160,2,30,305,150,2,30,334,130,2,30,291,64,2,31,347,101,2,31,148,28,1,30,177,25,1,31,124,3,1,30,342,106,1,28,523998811,811,SHANNON
45159,523998,DENBURY ONSHORE LLC,1980,220,183,1,24,330,167,1,28,307,98,1,26,284,112,1,20,294,58,1,18,275,122,1,18,287,95,1,19,317,42,1,19,363,12,0,30,292,34,0,31,264,33,0,30,279,34,0,31,523998811,811,SHANNON
45160,523998,DENBURY ONSHORE LLC,1981,228,2,0,31,260,1,0,28,245,2,0,31,211,2,0,30,176,1,0,31,193,3,0,29,176,2,0,31,299,34,0,31,282,33,0,30,273,32,0,30,246,34,0,30,241,6,0,31,523998811,811,SHANNON
45161,523998,DENBURY ONSHORE LLC,1982,29,9,0,31,71,7,0,28,210,26,0,29,27,3,0,30,201,24,0,31,288,33,0,30,134,14,0,31,368,38,0,31,318,26,0,30,145,14,0,31,133,12,0,30,73,11,0,31,523998811,811,SHANNON
45162,523998,DENBURY ONSHORE LLC,1983,100,11,0,31,82,11,0,28,526,47,0,31,247,24,0,15,510,48,0,31,441,36,0,28,479,42,0,30,472,0,0,31,250,0,0,30,188,0,0,31,244,0,0,30,147,0,0,19,523998811,811,SHANNON
45163,523998,DENBURY ONSHORE LLC,1984,216,0,0,25,82,15,0,29,219,34,0,30,185,27,91,30,237,38,89,30,223,30,84,28,240,29,60,31,189,23,47,26,0,0,0,0,189,26,189,31,0,0,0,0,0,0,0,99,523998811,811,SHANNON
45164,523999,DENBURY ONSHORE LLC,1978,805,644,30,30,729,262,0,28,654,230,0,31,834,495,0,30,723,253,0,30,560,194,0,30,666,233,0,31,520,120,0,31,549,200,0,30,495,151,7,31,582,166,5,30,524,169,4,31,523999811,811,SHANNON
45165,523999,DENBURY ONSHORE LLC,1979,292,75,2,21,464,60,2,28,489,34,3,31,440,208,2,30,488,238,2,30,490,191,2,30,472,104,3,31,444,129,2,31,594,112,1,30,591,83,1,31,535,13,1,30,549,170,1,30,523999811,811,SHANNON
45166,523999,DENBURY ONSHORE LLC,1980,258,131,1,25,259,131,1,22,335,107,1,26,327,129,1,20,320,62,1,18,339,150,1,18,308,102,1,19,295,40,2,19,481,31,0,30,386,47,0,31,350,45,0,30,369,45,0,31,523999811,811,SHANNON
45167,523999,DENBURY ONSHORE LLC,1981,405,24,0,31,487,21,0,28,460,23,0,31,396,23,0,30,329,32,0,31,361,32,0,30,330,25,0,31,561,33,0,31,530,32,0,30,513,30,0,30,461,33,0,30,451,26,0,31,523999811,811,SHANNON
45168,523999,DENBURY ONSHORE LLC,1982,147,37,0,31,142,8,0,28,126,10,0,29,214,11,0,30,905,63,0,31,836,49,0,30,561,32,0,31,584,32,0,31,409,19,0,30,652,33,0,31,599,30,0,30,247,19,0,31,523999811,811,SHANNON
45169,523999,DENBURY ONSHORE LLC,1983,0,0,0,99,279,18,0,27,351,17,0,31,329,16,0,30,340,17,0,31,283,12,0,27,330,16,0,31,315,0,0,31,250,0,0,30,48,0,0,6,0,0,0,99,0,0,0,99,523999811,811,SHANNON
46332,524123,DENBURY ONSHORE LLC,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,30,809,0,0,6,524123811,811,SHANNON
46333,524123,DENBURY ONSHORE LLC,1983,1153,0,0,31,287,0,25,28,415,0,32,31,262,0,0,30,298,54,0,31,246,38,0,30,271,0,0,31,285,0,41,31,330,0,0,30,499,172,0,31,255,163,0,30,234,219,0,30,524123811,811,SHANNON
46334,524123,DENBURY ONSHORE LLC,1984,351,448,0,29,313,451,0,29,199,48,0,31,161,36,0,24,242,122,0,31,157,43,0,30,252,62,0,30,144,36,0,31,203,82,0,29,289,117,0,31,284,66,0,30,397,83,0,31,524123811,811,SHANNON
46335,524123,DENBURY ONSHORE LLC,1985,190,60,0,31,235,88,0,28,201,39,0,31,215,55,0,29,181,47,0,31,118,96,0,29,550,357,0,31,318,268,0,31,233,207,0,28,175,163,0,31,209,218,0,30,212,236,0,31,524123811,811,SHANNON
46336,524123,DENBURY ONSHORE LLC,1986,268,222,0,31,244,206,0,28,83,71,55,31,83,68,55,30,40,31,27,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,20,0,7,653,69,0,26,219,0,0,31,524123811,811,SHANNON
46337,524123,DENBURY ONSHORE LLC,1987,141,97,0,31,147,86,0,28,308,76,0,28,163,96,0,28,44,45,0,31,64,56,0,30,115,70,0,31,91,50,0,29,111,48,0,30,85,63,0,31,111,13,0,29,106,42,0,31,524123811,811,SHANNON
46338,524123,DENBURY ONSHORE LLC,1988,196,40,0,29,99,53,0,29,99,73,119,30,76,0,0,30,160,0,0,31,150,0,0,30,113,27,0,31,164,25,0,28,255,41,0,30,184,62,0,31,189,0,0,30,129,0,0,30,524123811,811,SHANNON
46339,524123,DENBURY ONSHORE LLC,1989,196,102,0,31,174,34,0,28,302,69,0,31,26,0,0,30,152,52,0,28,214,0,0,30,243,71,0,31,216,34,0,31,159,33,0,30,387,180,0,31,191,18,0,30,405,124,0,31,524123811,811,SHANNON
46340,524123,DENBURY ONSHORE LLC,1990,342,158,0,31,199,137,0,28,281,235,0,31,136,102,25,16,194,217,287,31,261,192,59,30,208,192,23,31,170,210,3,31,117,251,305,30,175,172,0,25,122,112,0,21,192,154,0,31,524123811,811,SHANNON
46341,524123,DENBURY ONSHORE LLC,1991,197,170,0,26,212,179,0,26,255,219,0,31,502,1558,0,28,319,1211,35,28,64,69,0,27,61,61,0,28,1,1,0,1,0,0,0,0,59,38,0,26,165,39,12,28,98,40,31,18,524123811,811,SHANNON
46342,524123,DENBURY ONSHORE LLC,1992,175,81,39,30,175,29,0,29,182,84,256,29,72,95,342,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,113,248,23,430,121,29,31,380,103,0,30,412,78,0,31,524123811,811,SHANNON
46343,524123,DENBURY ONSHORE LLC,1993,338,29,0,31,247,20,0,28,133,8,0,29,185,29,0,30,88,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524123811,811,SHANNON
46462,524160,DENBURY ONSHORE LLC,1978,2464,0,0,31,1797,88,0,28,1857,0,0,24,1039,110,0,25,1596,124,0,31,1674,129,0,23,1515,89,0,31,1175,46,0,31,664,46,0,30,401,555,0,9,1031,223,0,30,1191,151,0,31,524160811,811,SHANNON
46463,524160,DENBURY ONSHORE LLC,1979,827,105,0,31,684,106,0,23,744,32,0,28,659,258,0,27,729,57,0,31,367,198,0,12,114,84,0,31,574,24,0,31,200,19,0,13,735,30,0,31,592,49,0,30,431,41,0,27,524160811,811,SHANNON
46464,524160,DENBURY ONSHORE LLC,1980,312,0,0,17,524,0,0,11,190,2,0,10,311,4,0,13,454,5,0,7,490,0,0,14,411,0,0,13,449,0,0,14,778,3,0,30,508,0,0,31,418,0,0,28,433,0,0,31,524160811,811,SHANNON
46465,524160,DENBURY ONSHORE LLC,1981,570,3,0,31,388,2,0,22,458,3,0,31,419,3,0,30,351,3,0,31,387,3,0,30,401,4,0,31,384,3,0,27,335,4,0,30,184,2,0,21,428,1,0,14,471,3,0,31,524160811,811,SHANNON
46466,524160,DENBURY ONSHORE LLC,1982,452,4,0,31,297,3,0,27,247,3,0,31,170,3,0,30,163,1,0,31,288,0,0,28,614,8,0,30,434,288,0,30,433,928,0,30,384,151,0,31,324,132,0,30,290,105,0,24,524160811,811,SHANNON
46467,524160,DENBURY ONSHORE LLC,1983,278,113,0,24,246,90,0,28,234,106,0,31,212,102,0,29,227,107,0,31,210,86,0,30,213,0,0,30,210,0,0,31,225,0,0,27,250,0,0,31,244,0,0,30,147,0,0,19,524160811,811,SHANNON
46468,524160,DENBURY ONSHORE LLC,1984,325,0,0,30,273,39,0,29,324,70,0,31,247,50,0,24,245,54,0,31,202,38,0,29,232,40,0,30,190,33,0,30,202,37,0,28,220,43,0,31,189,35,0,29,218,36,0,29,524160811,811,SHANNON
46469,524160,DENBURY ONSHORE LLC,1985,243,41,0,31,210,35,0,25,227,39,0,29,207,36,0,30,194,34,0,31,199,32,0,30,196,25,0,31,170,29,0,27,196,35,0,30,147,27,0,31,171,30,0,30,178,30,0,14,524160811,811,SHANNON
46470,524160,DENBURY ONSHORE LLC,1986,157,26,0,26,141,24,0,28,191,196,0,31,174,170,0,29,171,162,0,31,167,152,0,30,176,154,0,31,177,149,0,30,164,145,0,29,138,0,0,26,0,0,0,0,0,0,0,0,524160811,811,SHANNON
46471,524160,DENBURY ONSHORE LLC,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,3,524160811,811,SHANNON
46472,524160,DENBURY ONSHORE LLC,1988,169,0,0,26,305,0,0,29,336,0,0,31,343,0,0,30,345,0,0,31,335,0,0,30,340,0,0,31,337,0,0,31,323,0,0,30,325,0,0,31,307,0,0,30,320,0,0,31,524160811,811,SHANNON
46473,524160,DENBURY ONSHORE LLC,1989,322,0,0,31,281,0,0,28,308,0,0,31,292,0,0,30,303,0,0,31,293,0,0,30,269,0,0,31,312,0,0,31,289,0,0,30,293,0,0,31,250,0,0,29,472,0,0,31,524160811,811,SHANNON
46474,524160,DENBURY ONSHORE LLC,1990,281,0,0,31,251,0,0,28,658,0,0,31,86,0,0,30,296,0,0,31,319,0,0,30,287,0,0,31,280,0,0,31,305,0,0,30,299,0,0,31,288,0,0,30,288,0,0,31,524160811,811,SHANNON
46475,524160,DENBURY ONSHORE LLC,1991,356,0,0,31,333,0,0,28,335,0,0,31,296,0,0,30,332,0,0,31,300,0,0,30,296,0,0,31,347,0,0,31,190,0,0,6,347,0,0,30,324,0,0,30,325,0,0,29,524160811,811,SHANNON
46476,524160,DENBURY ONSHORE LLC,1992,346,0,0,31,286,0,0,29,330,0,0,31,328,0,0,30,317,0,0,31,323,0,0,30,315,0,0,31,290,0,0,31,268,0,0,30,283,0,0,31,267,0,0,30,269,0,0,31,524160811,811,SHANNON
46477,524160,DENBURY ONSHORE LLC,1993,254,0,0,21,273,0,0,28,285,0,0,31,270,0,0,30,348,0,0,30,299,0,0,30,277,0,0,31,298,0,0,31,262,0,0,30,265,0,0,31,267,0,0,30,280,0,0,31,524160811,811,SHANNON
46478,524160,DENBURY ONSHORE LLC,1994,282,0,0,31,261,0,0,28,297,0,0,31,298,0,0,30,285,0,0,31,306,0,0,30,299,0,0,31,294,0,0,31,291,0,0,30,286,0,0,31,285,0,0,30,278,0,0,31,524160811,811,SHANNON
46479,524160,DENBURY ONSHORE LLC,1995,293,0,0,31,261,0,0,28,279,0,0,31,271,0,0,30,280,0,0,31,264,0,0,30,267,0,0,31,99,0,0,12,320,0,0,30,302,0,0,31,327,0,0,25,398,0,0,31,524160811,811,SHANNON
46480,524160,DENBURY ONSHORE LLC,1996,396,0,0,29,371,0,0,29,388,0,0,31,366,0,0,30,374,0,0,31,359,0,0,30,363,0,0,31,356,0,0,31,343,0,0,30,364,0,0,31,346,0,0,30,322,0,0,31,524160811,811,SHANNON
46481,524160,DENBURY ONSHORE LLC,1997,341,0,0,27,332,0,0,28,366,0,0,31,261,0,0,16,266,0,0,6,322,0,0,7,402,0,0,29,382,0,0,31,333,0,0,30,341,0,0,31,318,0,0,30,352,0,0,31,524160811,811,SHANNON
46482,524160,DENBURY ONSHORE LLC,1998,343,0,0,31,306,0,0,28,330,0,0,31,309,0,0,30,355,0,0,31,321,0,0,30,331,0,0,31,331,0,0,31,320,0,0,28,336,0,0,31,329,0,0,30,296,0,0,27,524160811,811,SHANNON
